insee_com,REG,DEP,LIBGEO,LOG,RP,RSECOCC,LOGVAC,MAISON,APPART,RP_1P,RP_2P,RP_3P,RP_4P,RP_5PP,NBPI_RP,RPMAISON,NBPI_RPMAISON,RPAPPART,NBPI_RPAPPART,RP_ACHTOT,RP_ACH1919,RP_ACH1945,RP_ACH1970,RP_ACH1990,RP_ACH2005,RP_ACH2019,RPMAISON_ACH1919,RPMAISON_ACH1945,RPMAISON_ACH1970,RPMAISON_ACH1990,RPMAISON_ACH2005,RPMAISON_ACH2019,RPAPPART_ACH1919,RPAPPART_ACH1945,RPAPPART_ACH1970,RPAPPART_ACH1990,RPAPPART_ACH2005,RPAPPART_ACH2019,MEN,MEN_ANEM0002,MEN_ANEM0204,MEN_ANEM0509,MEN_ANEM10P,MEN_ANEM1019,MEN_ANEM2029,MEN_ANEM30P,PMEN,PMEN_ANEM0002,PMEN_ANEM0204,PMEN_ANEM0509,PMEN_ANEM10P,NBPI_RP_ANEM0002,NBPI_RP_ANEM0204,NBPI_RP_ANEM0509,NBPI_RP_ANEM10P,RP_PROP,RP_LOC,RP_LOCHLMV,RP_GRAT,NPER_RP,NPER_RP_PROP,NPER_RP_LOC,NPER_RP_LOCHLMV,NPER_RP_GRAT,ANEM_RP,ANEM_RP_PROP,ANEM_RP_LOC,ANEM_RP_LOCHLMV,ANEM_RP_GRAT,RP_CGAZV,RP_CFIOUL,RP_CELEC,RP_CGAZB,RP_CAUT,RP_ELEC,RP_EAUCH,RP_BDWC,RP_CHOS,RP_CLIM,RP_TTEGOU,RP_GARL,RP_VOIT1P,RP_VOIT1,RP_VOIT2P,RP_HABFOR,RP_CASE,RP_MIBOIS,RP_MIDUR,AN,RP_ACH19,RP_ACH45,RP_ACH70,RP_ACH90,RP_ACH05,RP_ACH18,RPMAISON_ACH19,RPMAISON_ACH45,RPMAISON_ACH70,RPMAISON_ACH90,RPMAISON_ACH05,RPMAISON_ACH18,RPAPPART_ACH19,RPAPPART_ACH45,RPAPPART_ACH70,RPAPPART_ACH90,RPAPPART_ACH05,RPAPPART_ACH18,RP_SDB,RP_CCCOLL,RP_CCIND,RP_CINDELEC,RP_ACH17,RPMAISON_ACH17,RPAPPART_ACH17,RP_ACH15,RPMAISON_ACH15,RPAPPART_ACH15,RP_ACH14,RPMAISON_ACH14,RPAPPART_ACH14,RP_ACH13,RPMAISON_ACH13,RPAPPART_ACH13,RP_ACH12,RPMAISON_ACH12,RPAPPART_ACH12,RP_ACH11,RPMAISON_ACH11,RPAPPART_ACH11,RP_ACH10,RPMAISON_ACH10,RPAPPART_ACH10,RP_LOCPRIV,Plog_RP,Plog_RS,Plog_VAC,Plog_RP_LOCHLM,Plog_RP_LOCPRIV,Plog_RP_LOC,Plog_RP_PROP,Plog_RP_GRAT,Prp_RP_LOCHLM,Prp_RP_LOCPRIV,Prp_RP_LOC,Prp_RP_PROP,Prp_RP_GRAT
34210,76,34,Le Pouget,1105,935,61,109,962,137,7,48,177,315,387,4071,823,3729,106,331,929,227.0,70.0,85.0,148.0,224.0,176.0,189.0,58.0,74.0,142.0,202.0,153.0,35.0,12.0,11.0,6.0,20.0,22.0,935,120,179,161,475,214,107,155,2072,256,419,410,986,464,718,675,2215,685,209,24,40,2072,1553,435,56,84,14276,12318,1180,151,778,87.0,92.0,561.0,15.0,180.0,,,,,,,667,853,436,417,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,84.6,5.5,9.9,2.2,82.4,18.9,62.0,3.6,2.6,97.3,22.4,73.3,4.3
34211,76,34,Le Poujol-sur-Orb,733,483,81,169,594,137,11,32,92,149,200,2072,407,1852,74,218,480,134.0,55.0,61.0,120.0,73.0,37.0,111.0,38.0,49.0,111.0,66.0,30.0,23.0,17.0,12.0,9.0,7.0,6.0,483,54,80,75,275,89,65,121,944,95,151,167,530,178,313,319,1262,316,152,21,15,944,650,268,44,26,8504,6991,1340,254,174,5.0,78.0,269.0,9.0,122.0,,,,,,,326,425,253,173,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,65.9,11.1,23.1,2.9,63.0,20.7,43.1,2.0,4.3,95.7,31.5,65.4,3.1
34212,76,34,Poujols,116,84,25,7,109,7,0,6,14,14,50,388,77,370,7,18,83,23.0,4.0,6.0,23.0,18.0,8.0,19.0,4.0,5.0,23.0,17.0,7.0,4.0,0.0,1.0,0.0,1.0,1.0,84,7,16,16,44,16,11,17,183,18,44,38,82,28,67,70,223,62,21,1,1,183,133,49,1,1,1460,1341,115,1,4,0.0,22.0,37.0,1.0,23.0,,,,,,,51,82,43,38,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,72.4,21.6,6.0,0.9,71.6,18.1,53.4,0.9,1.2,98.8,25.0,73.8,1.2
34213,76,34,Poussan,3093,2803,102,187,2296,728,77,289,582,889,966,11394,2112,9493,629,1770,2649,375.0,94.0,235.0,703.0,590.0,653.0,246.0,60.0,142.0,605.0,485.0,427.0,127.0,32.0,75.0,75.0,93.0,218.0,2803,309,679,562,1254,508,332,414,6445,644,1625,1399,2778,1054,2505,2196,5640,1973,735,70,96,6445,4737,1510,203,198,38154,33378,3796,407,979,410.0,75.0,1934.0,43.0,341.0,,,,,,,2125,2587,1229,1358,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2733,90.6,3.3,6.0,2.3,88.4,23.8,63.8,3.1,2.5,97.5,26.2,70.4,3.4
34214,76,34,Pouzolles,734,542,97,96,678,50,2,26,95,199,219,2387,497,2248,41,133,539,137.0,54.0,45.0,85.0,114.0,103.0,130.0,49.0,43.0,73.0,108.0,91.0,8.0,5.0,2.0,12.0,3.0,12.0,542,79,95,101,266,112,65,89,1175,170,217,238,550,307,399,425,1256,402,128,2,11,1175,879,268,3,28,8230,7264,775,11,190,2.0,73.0,359.0,17.0,91.0,,,,,,,392,502,256,247,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,73.8,13.2,13.1,0.3,73.6,17.4,54.8,1.5,0.4,99.6,23.6,74.2,2.0
34215,76,34,Pouzols,454,399,33,22,427,27,1,11,56,135,196,1834,372,1731,27,103,389,76.0,26.0,38.0,73.0,99.0,77.0,69.0,22.0,34.0,70.0,96.0,71.0,7.0,4.0,4.0,3.0,3.0,6.0,399,32,78,81,208,102,46,60,956,83,195,209,469,126,329,365,1014,321,72,12,6,956,766,180,29,10,5918,5329,428,111,161,0.0,36.0,259.0,12.0,92.0,,,,,,,299,387,156,231,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,87.9,7.3,4.8,2.6,85.2,15.9,70.7,1.3,3.0,97.0,18.0,80.5,1.5
34216,76,34,Le Pradal,167,145,17,5,162,5,0,3,16,49,77,683,141,671,4,12,144,10.0,7.0,11.0,39.0,39.0,38.0,10.0,6.0,11.0,36.0,39.0,38.0,0.0,1.0,0.0,3.0,0.0,0.0,145,8,33,31,73,35,15,23,325,17,73,84,151,36,140,148,359,99,41,0,5,325,226,89,0,10,2187,1883,273,0,31,0.0,29.0,81.0,0.0,35.0,,,,,,,112,139,51,88,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,86.8,10.2,3.0,0.0,86.8,24.6,59.3,3.0,0.0,100.0,28.3,68.3,3.4
34217,76,34,Prades-le-Lez,2870,2716,28,126,2018,845,48,369,479,808,1012,11233,1902,9040,807,2171,2651,73.0,27.0,112.0,979.0,499.0,961.0,55.0,17.0,78.0,862.0,412.0,432.0,17.0,10.0,34.0,115.0,86.0,526.0,2716,337,739,478,1162,421,308,433,6203,726,1735,1229,2513,1187,2559,1906,5581,1791,891,219,34,6203,4268,1863,478,72,35890,30549,4899,1806,442,753.0,93.0,1602.0,35.0,233.0,,,,,,,2356,2597,1239,1358,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497,94.6,1.0,4.4,7.6,87.0,31.0,62.4,1.2,8.1,91.9,32.8,65.9,1.3
34218,76,34,Prades-sur-Vernazobre,245,168,59,18,235,10,1,5,19,48,95,802,166,795,2,7,160,35.0,11.0,15.0,32.0,38.0,29.0,35.0,11.0,14.0,31.0,38.0,29.0,0.0,0.0,1.0,1.0,0.0,0.0,168,22,31,30,85,31,27,27,369,47,71,73,178,96,143,138,425,132,25,0,11,369,293,53,0,23,2590,2269,136,0,185,1.0,11.0,105.0,2.0,49.0,,,,,,,129,161,72,89,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,68.6,24.1,7.3,0.0,68.6,10.2,53.9,4.5,0.0,100.0,14.9,78.6,6.5
34219,76,34,Prémian,415,267,116,33,385,29,2,8,75,98,84,1104,247,1040,18,63,266,34.0,76.0,31.0,53.0,40.0,31.0,32.0,68.0,28.0,49.0,38.0,31.0,1.0,8.0,3.0,4.0,2.0,0.0,267,22,53,41,150,69,33,48,484,43,104,68,270,77,225,172,630,204,55,9,7,484,364,110,16,11,4316,3904,324,37,88,0.0,46.0,101.0,10.0,109.0,,,,,,,185,237,139,98,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,64.3,28.0,8.0,2.2,62.2,13.3,49.2,1.7,3.4,96.6,20.6,76.4,2.6
34220,76,34,Le Puech,168,120,44,4,160,8,0,7,24,35,54,534,117,525,4,9,116,25.0,7.0,6.0,29.0,27.0,22.0,24.0,6.0,6.0,28.0,26.0,22.0,1.0,1.0,0.0,1.0,1.0,0.0,120,11,21,14,74,31,12,32,260,23,44,39,154,38,76,64,356,89,27,0,5,260,188,61,0,11,2312,2165,110,0,37,0.0,10.0,53.0,9.0,49.0,,,,,,,91,116,50,65,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,71.4,26.2,2.4,0.0,71.4,16.1,53.0,3.0,0.0,100.0,22.5,74.2,4.2
34221,76,34,Puéchabon,338,234,52,52,315,23,4,19,38,70,104,1013,214,955,21,58,234,103.0,11.0,19.0,38.0,37.0,26.0,92.0,10.0,17.0,36.0,35.0,24.0,11.0,1.0,2.0,2.0,2.0,2.0,234,29,37,29,140,60,31,48,507,54,79,68,307,110,137,104,661,172,52,0,10,507,399,86,0,21,4081,3734,260,0,87,0.0,33.0,110.0,10.0,82.0,,,,,,,126,214,103,110,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,69.2,15.4,15.4,0.0,69.2,15.4,50.9,3.0,0.0,100.0,22.2,73.5,4.3
34222,76,34,Puilacher,241,222,13,5,234,6,2,7,15,61,136,1116,216,1095,5,15,222,19.0,11.0,7.0,12.0,42.0,131.0,17.0,11.0,6.0,12.0,40.0,129.0,1.0,0.0,1.0,0.0,2.0,1.0,222,17,48,68,89,61,11,16,644,49,146,226,224,95,207,350,464,195,25,0,3,644,584,55,0,5,2465,2220,234,0,11,1.0,20.0,144.0,6.0,51.0,,,,,,,190,216,71,145,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,92.1,5.4,2.1,0.0,92.1,10.4,80.9,1.2,0.0,100.0,11.3,87.8,1.4
34223,76,34,Puimisson,634,527,89,18,590,43,3,23,77,169,255,2424,485,2295,41,125,522,109.0,32.0,63.0,87.0,83.0,148.0,91.0,29.0,54.0,82.0,79.0,145.0,18.0,3.0,8.0,5.0,4.0,3.0,527,54,102,111,260,98,69,93,1197,108,250,321,518,225,447,500,1252,421,94,1,12,1197,991,185,3,21,8166,7467,568,3,131,2.0,49.0,369.0,15.0,92.0,,,,,,,396,487,215,272,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,83.1,14.0,2.8,0.2,83.0,14.8,66.4,1.9,0.2,99.8,17.8,79.9,2.3
34224,76,34,Puissalicon,793,589,128,76,748,40,4,10,79,201,295,2751,556,2652,30,92,580,96.0,37.0,44.0,114.0,112.0,179.0,85.0,34.0,44.0,111.0,108.0,169.0,11.0,3.0,0.0,3.0,4.0,6.0,589,63,113,92,322,155,80,88,1352,154,278,220,700,263,477,421,1591,485,89,0,16,1352,1123,194,0,35,8780,8249,395,0,135,73.0,24.0,376.0,8.0,109.0,,,,,,,483,552,245,307,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,74.3,16.1,9.6,0.0,74.3,11.2,61.2,2.0,0.0,100.0,15.1,82.3,2.7
34225,76,34,Puisserguier,1786,1424,154,208,1583,197,13,54,296,460,601,6288,1255,5764,164,509,1424,383.0,136.0,153.0,299.0,231.0,223.0,355.0,102.0,128.0,278.0,200.0,192.0,26.0,33.0,24.0,21.0,29.0,31.0,1424,180,269,213,762,309,170,283,2964,384,606,474,1500,667,1118,941,3562,1025,365,12,34,2964,2179,736,26,49,23364,20719,2108,176,537,189.0,148.0,857.0,23.0,207.0,,,,,,,1015,1243,693,550,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412,79.7,8.6,11.6,0.7,79.1,20.4,57.4,1.9,0.8,99.2,25.6,72.0,2.4
34226,76,34,Quarante,1144,805,269,71,1012,130,7,45,148,231,373,3625,704,3330,97,282,805,224.0,78.0,87.0,151.0,124.0,141.0,198.0,67.0,78.0,142.0,98.0,121.0,25.0,9.0,9.0,9.0,25.0,19.0,805,127,151,132,394,143,87,165,1752,268,359,328,798,479,620,561,1966,562,215,9,28,1752,1237,464,23,51,12902,11418,1166,44,318,79.0,96.0,488.0,13.0,128.0,,,,,,,541,724,385,339,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,70.4,23.5,6.2,0.8,69.6,18.8,49.1,2.4,1.1,98.9,26.7,69.8,3.5
34227,76,34,Restinclières,1064,984,42,38,921,135,10,39,129,405,401,4370,860,3988,117,369,984,52.0,21.0,44.0,247.0,305.0,316.0,48.0,11.0,34.0,234.0,250.0,283.0,4.0,10.0,9.0,11.0,53.0,31.0,984,190,223,156,416,146,158,112,2573,523,595,486,968,776,909,679,2007,759,205,26,21,2573,2043,493,59,37,12042,10551,1238,249,254,115.0,56.0,680.0,18.0,114.0,,,,,,,803,952,322,630,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958,92.5,3.9,3.6,2.4,90.0,19.3,71.3,2.0,2.6,97.4,20.8,77.1,2.1
34228,76,34,Rieussec,103,43,52,8,100,2,0,2,16,11,14,177,41,171,2,6,43,20.0,2.0,4.0,3.0,9.0,5.0,20.0,2.0,3.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,43,4,3,8,28,14,5,9,82,9,9,16,48,13,12,29,123,32,10,0,1,82,61,19,0,2,805,708,77,0,20,0.0,4.0,10.0,4.0,25.0,,,,,,,33,41,18,23,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,41.7,50.5,7.8,0.0,41.7,9.7,31.1,1.0,0.0,100.0,23.3,74.4,2.3
34229,76,34,Riols,667,364,171,132,619,46,1,24,66,92,181,1637,335,1548,28,87,363,123.0,37.0,26.0,68.0,56.0,52.0,114.0,30.0,22.0,64.0,52.0,52.0,9.0,7.0,4.0,4.0,3.0,0.0,364,31,64,65,203,76,55,72,714,58,144,138,375,121,287,284,946,284,68,2,11,714,569,123,3,22,6116,5630,397,21,89,2.0,69.0,104.0,20.0,168.0,,,,,,,246,329,153,176,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,54.6,25.6,19.8,0.3,54.1,10.2,42.6,1.6,0.5,99.2,18.7,78.0,3.0
34230,76,34,Les Rives,116,74,32,10,104,7,0,5,13,15,41,338,68,315,5,21,69,17.0,0.0,7.0,17.0,14.0,13.0,15.0,0.0,6.0,15.0,14.0,13.0,1.0,0.0,1.0,2.0,0.0,0.0,74,5,15,13,41,17,5,18,151,15,36,30,69,20,63,56,200,61,10,0,3,151,124,20,0,7,1451,1385,51,0,15,1.0,17.0,20.0,1.0,34.0,,,,,,,53,68,33,34,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,63.8,27.6,8.6,0.0,63.8,8.6,52.6,2.6,0.0,100.0,13.5,82.4,4.1
34231,76,34,Romiguières,24,11,7,7,23,1,1,1,3,3,4,42,10,40,1,3,11,4.0,1.0,2.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,11,2,1,3,5,1,4,0,23,3,5,5,10,6,4,9,24,9,2,0,0,23,20,3,0,0,142,134,7,0,0,1.0,3.0,3.0,0.0,4.0,,,,,,,6,11,5,5,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,45.8,29.2,29.2,0.0,45.8,8.3,37.5,0.0,0.0,100.0,18.2,81.8,0.0
