LIBGEO,AN,TYPE_LOG,NOMBRE
Saint-Victor-des-Oules,2022,Résidences principales,140.963572508724
Saint-Victor-la-Coste,2022,Résidences principales,933.977276734454
Saint-Victor-de-Malcap,2022,Résidences principales,378.649706448576
Salazac,2022,Résidences principales,106.161466411828
Salindres,2022,Résidences principales,1689.62439470246
Salinelles,2022,Résidences principales,251.012666073611
Les Salles-du-Gardon,2022,Résidences principales,1124.0
Sanilhac-Sagriès,2022,Résidences principales,399.0
Sardan,2022,Résidences principales,154.38935223946
Saumane,2022,Résidences principales,134.239203285452
Sauve,2022,Résidences principales,969.801229431727
Sauveterre,2022,Résidences principales,839.0
Sauzet,2022,Résidences principales,345.328824964021
Savignargues,2022,Résidences principales,103.466236009311
Saze,2022,Résidences principales,922.699437563722
Sénéchas,2022,Résidences principales,131.122015775908
Sernhac,2022,Résidences principales,767.744283841799
Servas,2022,Résidences principales,97.154589371981
Serviers-et-Labaume,2022,Résidences principales,260.738461547681
Seynes,2022,Résidences principales,90.7777777777778
Sommières,2022,Résidences principales,2358.0
Soudorgues,2022,Résidences principales,133.227888517625
Soustelle,2022,Résidences principales,59.504132231405
Souvignargues,2022,Résidences principales,395.683750433285
Sumène,2022,Résidences principales,697.319812598985
Tavel,2022,Résidences principales,896.0
Tharaux,2022,Résidences principales,25.1941543169605
Théziers,2022,Résidences principales,462.149373587765
Thoiras-Corbès,2022,Résidences principales,293.670588235294
Tornac,2022,Résidences principales,437.250384787885
Tresques,2022,Résidences principales,814.0
Trèves,2022,Résidences principales,58.3008849557522
Uchaud,2022,Résidences principales,2102.62819158813
Uzès,2022,Résidences principales,4319.88853564829
Vabres,2022,Résidences principales,58.840579710145
Vallabrègues,2022,Résidences principales,638.557556915707
Vallabrix,2022,Résidences principales,179.07465216656
Vallérargues,2022,Résidences principales,57.0
Val-d'Aigoual,2022,Résidences principales,724.0
Valliguières,2022,Résidences principales,279.0
Vauvert,2022,Résidences principales,5287.12437811277
Vénéjan,2022,Résidences principales,556.547490388554
Verfeuil,2022,Résidences principales,272.354000021383
Vergèze,2022,Résidences principales,2434.0
La Vernarède,2022,Résidences principales,195.572342808936
Vers-Pont-du-Gard,2022,Résidences principales,805.481590443797
Vestric-et-Candiac,2022,Résidences principales,552.689565407988
Vézénobres,2022,Résidences principales,842.107082845567
Vic-le-Fesq,2022,Résidences principales,234.977843091043
Le Vigan,2022,Résidences principales,1988.11733827844
Villeneuve-lès-Avignon,2022,Résidences principales,6446.42676484741
Villevieille,2022,Résidences principales,846.048130219258
Vissec,2022,Résidences principales,32.4776119402986
Montagnac,2022,Résidences principales,102.808408161917
Saint-Paul-les-Fonts,2022,Résidences principales,422.117507115769
Rodilhan,2022,Résidences principales,1284.53379147189
Abeilhan,2022,Résidences principales,763.313951864293
Adissan,2022,Résidences principales,572.816605813457
Agde,2022,Résidences principales,15770.9279873732
Agel,2022,Résidences principales,119.766189334969
Agonès,2022,Résidences principales,134.158374576148
Aigne,2022,Résidences principales,145.47640399279
Aigues-Vives,2022,Résidences principales,232.39065958407
Les Aires,2022,Résidences principales,298.434992141025
Alignan-du-Vent,2022,Résidences principales,818.309858905201
Aniane,2022,Résidences principales,1333.92303524071
Arboras,2022,Résidences principales,53.4054054054054
Argelliers,2022,Résidences principales,412.531410176091
Aspiran,2022,Résidences principales,736.0
Assas,2022,Résidences principales,632.803605164228
Assignan,2022,Résidences principales,91.7241379310344
Aumelas,2022,Résidences principales,265.801314566776
Aumes,2022,Résidences principales,231.233653878265
Autignac,2022,Résidences principales,436.308407496415
Avène,2022,Résidences principales,179.0
Azillanet,2022,Résidences principales,192.959039316172
Babeau-Bouldoux,2022,Résidences principales,147.0
Baillargues,2022,Résidences principales,3463.32530199502
Balaruc-les-Bains,2022,Résidences principales,3440.33855094016
Balaruc-le-Vieux,2022,Résidences principales,1202.0
Bassan,2022,Résidences principales,1079.0
Beaufort,2022,Résidences principales,114.0
Beaulieu,2022,Résidences principales,934.315217313635
Bédarieux,2022,Résidences principales,3013.0
Bélarga,2022,Résidences principales,267.0
Berlou,2022,Résidences principales,103.109004739336
Bessan,2022,Résidences principales,2488.66605771756
Béziers,2022,Résidences principales,38710.508133047
Boisseron,2022,Résidences principales,846.689607700663
Boisset,2022,Résidences principales,20.9555555555556
La Boissière,2022,Résidences principales,451.827007454676
Le Bosc,2022,Résidences principales,621.4999950615
Boujan-sur-Libron,2022,Résidences principales,1650.39639084499
Le Bousquet-d'Orb,2022,Résidences principales,821.483729680118
Bouzigues,2022,Résidences principales,774.471009167033
Brenas,2022,Résidences principales,33.4137931034483
Brignac,2022,Résidences principales,364.082795768843
Brissac,2022,Résidences principales,279.495015761877
Buzignargues,2022,Résidences principales,154.171277778576
Cabrerolles,2022,Résidences principales,163.843633027704
Cabrières,2022,Résidences principales,266.686331923067
Cambon-et-Salvergues,2022,Résidences principales,28.1020408163265
Campagnan,2022,Résidences principales,298.472412033297
Campagne,2022,Résidences principales,133.884439849285
Camplong,2022,Résidences principales,130.814027829221
Candillargues,2022,Résidences principales,846.29814604728
Canet,2022,Résidences principales,1470.0
Capestang,2022,Résidences principales,1542.92210596019
Carlencas-et-Levas,2022,Résidences principales,51.2272727272729
Cassagnoles,2022,Résidences principales,61.4363636363636
Castanet-le-Haut,2022,Résidences principales,105.845284998268
Castelnau-de-Guers,2022,Résidences principales,574.0
Castelnau-le-Lez,2022,Résidences principales,12925.0390534461
Castries,2022,Résidences principales,2950.99526784361
La Caunette,2022,Résidences principales,159.255113275515
Causse-de-la-Selle,2022,Résidences principales,198.0
Causses-et-Veyran,2022,Résidences principales,315.427642767022
