LIBGEO,AN,LOG,TYPE_HABITAT,NOMBRE
Saint-Bonnet-du-Gard,2022,431,Appartements,40
Saint-Bonnet-de-Salendrinque,2022,76,Appartements,7
Saint-Brès,2022,471,Appartements,36
Saint-Bresson,2022,86,Appartements,10
Sainte-Cécile-d'Andorge,2022,361,Appartements,38
Saint-Césaire-de-Gauzignan,2022,202,Appartements,16
Saint-Chaptes,2022,969,Appartements,167
Saint-Christol-de-Rodières,2022,135,Appartements,10
Saint-Christol-lez-Alès,2022,3522,Appartements,566
Saint-Clément,2022,190,Appartements,15
Saint-Côme-et-Maruéjols,2022,383,Appartements,64
Sainte-Croix-de-Caderle,2022,94,Appartements,15
Saint-Denis,2022,226,Appartements,27
Saint-Dézéry,2022,224,Appartements,22
Saint-Dionisy,2022,481,Appartements,58
Saint-Étienne-de-l'Olm,2022,202,Appartements,6
Saint-Étienne-des-Sorts,2022,326,Appartements,78
Saint-Félix-de-Pallières,2022,198,Appartements,21
Saint-Florent-sur-Auzonnet,2022,835,Appartements,288
Saint-Geniès-de-Comolas,2022,941,Appartements,106
Saint-Geniès-de-Malgoirès,2022,1478,Appartements,349
Saint-Gervais,2022,452,Appartements,33
Saint-Gervasy,2022,859,Appartements,113
Saint-Gilles,2022,7055,Appartements,2276
Saint-Hilaire-de-Brethmas,2022,2288,Appartements,251
Saint-Hilaire-d'Ozilhan,2022,538,Appartements,28
Saint-Hippolyte-de-Caton,2022,149,Appartements,4
Saint-Hippolyte-de-Montaigu,2022,165,Appartements,1
Saint-Hippolyte-du-Fort,2022,2376,Appartements,831
Saint-Jean-de-Ceyrargues,2022,107,Appartements,4
Saint-Jean-de-Crieulon,2022,152,Appartements,15
Saint-Jean-de-Maruéjols-et-Avéjan,2022,704,Appartements,108
Saint-Jean-de-Serres,2022,308,Appartements,31
Saint-Jean-de-Valériscle,2022,436,Appartements,126
Saint-Jean-du-Gard,2022,1870,Appartements,723
Saint-Jean-du-Pin,2022,768,Appartements,77
Saint-Julien-de-Cassagnas,2022,399,Appartements,52
Saint-Julien-de-la-Nef,2022,131,Appartements,19
Saint-Julien-de-Peyrolas,2022,810,Appartements,38
Saint-Julien-les-Rosiers,2022,1679,Appartements,195
Saint-Just-et-Vacquières,2022,179,Appartements,11
Saint-Laurent-d'Aigouze,2022,2125,Appartements,374
Saint-Laurent-de-Carnols,2022,319,Appartements,11
Saint-Laurent-des-Arbres,2022,1401,Appartements,109
Saint-Laurent-la-Vernède,2022,458,Appartements,26
Saint-Laurent-le-Minier,2022,345,Appartements,50
Saint-Mamert-du-Gard,2022,743,Appartements,73
Saint-Marcel-de-Careiret,2022,465,Appartements,12
Saint-Martial,2022,268,Appartements,8
Saint-Martin-de-Valgalgues,2022,2311,Appartements,656
Saint-Maurice-de-Cazevieille,2022,415,Appartements,48
Saint-Maximin,2022,507,Appartements,24
Saint-Michel-d'Euzet,2022,424,Appartements,23
Saint-Nazaire,2022,664,Appartements,189
Saint-Nazaire-des-Gardies,2022,47,Appartements,3
Saint-Paulet-de-Caisson,2022,1052,Appartements,110
Saint-Paul-la-Coste,2022,294,Appartements,18
Saint-Pons-la-Calm,2022,271,Appartements,20
Saint-Privat-de-Champclos,2022,287,Appartements,19
Saint-Privat-des-Vieux,2022,2663,Appartements,300
Saint-Quentin-la-Poterie,2022,1819,Appartements,173
Saint-Roman-de-Codières,2022,203,Appartements,13
Saint-Sauveur-Camprieu,2022,627,Appartements,25
Saint-Sébastien-d'Aigrefeuille,2022,349,Appartements,16
Saint-Siffret,2022,815,Appartements,38
Saint-Théodorit,2022,288,Appartements,27
Saint-Victor-des-Oules,2022,211,Appartements,5
Saint-Victor-la-Coste,2022,1094,Appartements,61
Saint-Victor-de-Malcap,2022,512,Appartements,38
Salazac,2022,165,Appartements,9
Salindres,2022,1870,Appartements,484
Salinelles,2022,310,Appartements,54
Les Salles-du-Gardon,2022,1444,Appartements,615
Sanilhac-Sagriès,2022,546,Appartements,60
Sardan,2022,186,Appartements,13
Saumane,2022,271,Appartements,61
Sauve,2022,1353,Appartements,485
Sauveterre,2022,943,Appartements,84
Sauzet,2022,384,Appartements,27
Savignargues,2022,129,Appartements,6
Saze,2022,1037,Appartements,145
Sénéchas,2022,297,Appartements,10
Sernhac,2022,935,Appartements,132
Servas,2022,134,Appartements,10
Serviers-et-Labaume,2022,344,Appartements,14
Seynes,2022,120,Appartements,12
Sommières,2022,2795,Appartements,1337
Soudorgues,2022,235,Appartements,18
Soustelle,2022,120,Appartements,20
Souvignargues,2022,490,Appartements,27
Sumène,2022,1277,Appartements,365
Tavel,2022,1058,Appartements,163
Tharaux,2022,62,Appartements,3
Théziers,2022,532,Appartements,37
Thoiras-Corbès,2022,424,Appartements,64
Tornac,2022,578,Appartements,80
Tresques,2022,956,Appartements,81
Trèves,2022,138,Appartements,21
Uchaud,2022,2275,Appartements,543
Uzès,2022,6060,Appartements,3124
Vabres,2022,87,Appartements,5
Vallabrègues,2022,764,Appartements,56
Vallabrix,2022,274,Appartements,13
Vallérargues,2022,96,Appartements,2
Val-d'Aigoual,2022,1933,Appartements,337
Valliguières,2022,348,Appartements,42
Vauvert,2022,5836,Appartements,2033
Vénéjan,2022,638,Appartements,43
Verfeuil,2022,413,Appartements,14
Vergèze,2022,2607,Appartements,526
La Vernarède,2022,383,Appartements,82
Vers-Pont-du-Gard,2022,1066,Appartements,99
Vestric-et-Candiac,2022,595,Appartements,43
Vézénobres,2022,1070,Appartements,169
Vic-le-Fesq,2022,280,Appartements,34
Le Vigan,2022,2709,Appartements,1393
Villeneuve-lès-Avignon,2022,7461,Appartements,2200
Villevieille,2022,991,Appartements,85
Vissec,2022,67,Appartements,8
Montagnac,2022,113,Appartements,8
Saint-Paul-les-Fonts,2022,466,Appartements,42
Rodilhan,2022,1384,Appartements,311
Abeilhan,2022,911,Appartements,73
Adissan,2022,701,Appartements,64
Agde,2022,50239,Appartements,36249
Agel,2022,185,Appartements,11
Agonès,2022,162,Appartements,6
Aigne,2022,224,Appartements,11
Aigues-Vives,2022,363,Appartements,8
Les Aires,2022,416,Appartements,45
Alignan-du-Vent,2022,992,Appartements,42
Aniane,2022,1612,Appartements,311
Arboras,2022,80,Appartements,9
Argelliers,2022,520,Appartements,43
Aspiran,2022,911,Appartements,101
Assas,2022,727,Appartements,62
Assignan,2022,172,Appartements,7
Aumelas,2022,332,Appartements,32
Aumes,2022,304,Appartements,22
Autignac,2022,636,Appartements,54
Avène,2022,598,Appartements,226
Azillanet,2022,321,Appartements,4
Babeau-Bouldoux,2022,249,Appartements,8
Baillargues,2022,3774,Appartements,1210
Balaruc-les-Bains,2022,7725,Appartements,5257
Balaruc-le-Vieux,2022,1370,Appartements,263
Bassan,2022,1210,Appartements,127
Beaufort,2022,179,Appartements,13
Beaulieu,2022,1010,Appartements,129
Bédarieux,2022,4130,Appartements,2015
Bélarga,2022,335,Appartements,26
Berlou,2022,202,Appartements,10
Bessan,2022,3205,Appartements,589
Béziers,2022,48370,Appartements,30614
Boisseron,2022,944,Appartements,112
Boisset,2022,43,Appartements,4
La Boissière,2022,506,Appartements,26
Le Bosc,2022,778,Appartements,58
Boujan-sur-Libron,2022,1824,Appartements,523
Le Bousquet-d'Orb,2022,1134,Appartements,359
Bouzigues,2022,1058,Appartements,215
Brenas,2022,55,Appartements,2
Brignac,2022,407,Appartements,27
Brissac,2022,463,Appartements,23
Buzignargues,2022,173,Appartements,19
Cabrerolles,2022,294,Appartements,17
Cabrières,2022,351,Appartements,26
Cambon-et-Salvergues,2022,152,Appartements,10
Campagnan,2022,369,Appartements,15
Campagne,2022,151,Appartements,18
Camplong,2022,227,Appartements,24
Candillargues,2022,888,Appartements,227
Canet,2022,1624,Appartements,151
Capestang,2022,1943,Appartements,299
Carlencas-et-Levas,2022,73,Appartements,2
Cassagnoles,2022,107,Appartements,4
Castanet-le-Haut,2022,240,Appartements,13
Castelnau-de-Guers,2022,927,Appartements,50
Castelnau-le-Lez,2022,13962,Appartements,8451
Castries,2022,3302,Appartements,983
La Caunette,2022,274,Appartements,34
Causse-de-la-Selle,2022,277,Appartements,6
Causses-et-Veyran,2022,457,Appartements,29
Caussiniojouls,2022,119,Appartements,7
Caux,2022,1578,Appartements,143
Le Caylar,2022,369,Appartements,57
Cazedarnes,2022,359,Appartements,14
Cazevieille,2022,115,Appartements,7
Cazilhac,2022,861,Appartements,103
Cazouls-d'Hérault,2022,266,Appartements,24
Cazouls-lès-Béziers,2022,2631,Appartements,371
Cébazan,2022,364,Appartements,13
Ceilhes-et-Rocozels,2022,339,Appartements,66
Celles,2022,17,Appartements,4
Cers,2022,1237,Appartements,128
Cessenon-sur-Orb,2022,1511,Appartements,160
Cesseras,2022,358,Appartements,37
Ceyras,2022,676,Appartements,68
Clapiers,2022,2701,Appartements,727
Claret,2022,774,Appartements,60
Clermont-l'Hérault,2022,5207,Appartements,2611
Colombières-sur-Orb,2022,367,Appartements,15
Colombiers,2022,1578,Appartements,298
Combaillaux,2022,806,Appartements,67
Combes,2022,209,Appartements,16
Corneilhan,2022,856,Appartements,85
Coulobres,2022,192,Appartements,3
Courniou,2022,537,Appartements,34
Cournonsec,2022,1442,Appartements,251
Cournonterral,2022,3229,Appartements,776
Creissan,2022,745,Appartements,65
Le Crès,2022,4393,Appartements,1410
Le Cros,2022,70,Appartements,2
Cruzy,2022,668,Appartements,34
Espondeilhan,2022,590,Appartements,51
Fabrègues,2022,3719,Appartements,935
Faugères,2022,418,Appartements,17
Félines-Minervois,2022,388,Appartements,12
Ferrals-les-Montagnes,2022,195,Appartements,1
Ferrières-les-Verreries,2022,45,Appartements,2
Ferrières-Poussarou,2022,72,Appartements,3
Florensac,2022,2817,Appartements,380
Fontanès,2022,158,Appartements,8
Fontès,2022,638,Appartements,64
Fos,2022,89,Appartements,7
Fouzilhon,2022,150,Appartements,8
Fozières,2022,129,Appartements,7
Fraisse-sur-Agout,2022,425,Appartements,43
Frontignan,2022,14417,Appartements,6447
Gabian,2022,603,Appartements,64
Galargues,2022,358,Appartements,25
Ganges,2022,2679,Appartements,1733
Garrigues,2022,108,Appartements,10
Gigean,2022,2938,Appartements,798
Gignac,2022,3112,Appartements,832
Gorniès,2022,154,Appartements,9
Grabels,2022,4669,Appartements,2409
Graissessac,2022,643,Appartements,281
Guzargues,2022,206,Appartements,11
Hérépian,2022,978,Appartements,192
Jacou,2022,3076,Appartements,973
Joncels,2022,255,Appartements,31
Jonquières,2022,295,Appartements,20
Juvignac,2022,6726,Appartements,3063
Lacoste,2022,187,Appartements,9
Lagamas,2022,84,Appartements,19
Lamalou-les-Bains,2022,2389,Appartements,1238
Lansargues,2022,1547,Appartements,251
Laroque,2022,971,Appartements,170
Lattes,2022,9366,Appartements,4749
Laurens,2022,1065,Appartements,102
Lauret,2022,294,Appartements,35
Lauroux,2022,185,Appartements,10
Lavalette,2022,50,Appartements,4
Lavérune,2022,1545,Appartements,441
Lespignan,2022,1905,Appartements,226
Lézignan-la-Cèbe,2022,826,Appartements,98
