LIBGEO,AN,LOG,TYPE_HABITAT,NOMBRE
Prades-sur-Vernazobre,2015,238,Appartements,10
Prémian,2015,412,Appartements,31
Le Puech,2015,151,Appartements,4
Puéchabon,2015,307,Appartements,17
Puilacher,2015,198,Appartements,3
Puimisson,2015,536,Appartements,38
Puissalicon,2015,734,Appartements,35
Puisserguier,2015,1592,Appartements,180
Quarante,2015,1051,Appartements,91
Restinclières,2015,712,Appartements,76
Rieussec,2015,100,Appartements,3
Riols,2015,648,Appartements,30
Les Rives,2015,107,Appartements,4
Romiguières,2015,24,Appartements,2
Roquebrun,2015,648,Appartements,44
Roqueredonde,2015,114,Appartements,16
Roquessels,2015,85,Appartements,0
Rosis,2015,316,Appartements,25
Rouet,2015,45,Appartements,2
Roujan,2015,1270,Appartements,101
Saint-André-de-Buèges,2015,51,Appartements,5
Saint-André-de-Sangonis,2015,2606,Appartements,420
Saint-Aunès,2015,1359,Appartements,297
Saint-Bauzille-de-la-Sylve,2015,419,Appartements,29
Saint-Bauzille-de-Montmel,2015,461,Appartements,46
Saint-Bauzille-de-Putois,2015,1028,Appartements,115
Saint-Brès,2015,1287,Appartements,301
Saint-Chinian,2015,1315,Appartements,180
Saint-Christol,2015,710,Appartements,63
Saint-Clément-de-Rivière,2015,2229,Appartements,574
Sainte-Croix-de-Quintillargues,2015,314,Appartements,24
Saint-Drézéry,2015,930,Appartements,129
Saint-Étienne-d'Albagnan,2015,298,Appartements,18
Saint-Étienne-de-Gourgas,2015,278,Appartements,16
Saint-Étienne-Estréchoux,2015,255,Appartements,86
Saint-Félix-de-l'Héras,2015,38,Appartements,3
Saint-Félix-de-Lodez,2015,548,Appartements,72
Saint-Gély-du-Fesc,2015,4165,Appartements,554
Saint-Geniès-des-Mourgues,2015,863,Appartements,107
Saint-Geniès-de-Varensal,2015,147,Appartements,13
Saint-Geniès-de-Fontedit,2015,882,Appartements,33
Saint-Georges-d'Orques,2015,2644,Appartements,832
Saint-Gervais-sur-Mare,2015,748,Appartements,41
Saint-Guilhem-le-Désert,2015,246,Appartements,46
Saint-Guiraud,2015,133,Appartements,3
Saint-Hilaire-de-Beauvoir,2015,172,Appartements,17
Saint-Jean-de-Buèges,2015,193,Appartements,39
Saint-Jean-de-Cornies,2015,270,Appartements,2
Saint-Jean-de-Cuculles,2015,199,Appartements,15
Saint-Jean-de-Fos,2015,931,Appartements,87
Saint-Jean-de-la-Blaquière,2015,384,Appartements,32
Saint-Jean-de-Minervois,2015,149,Appartements,4
Saint-Jean-de-Védas,2015,4101,Appartements,1195
Saint-Julien,2015,237,Appartements,18
Saint-Just,2015,1316,Appartements,179
Saint-Martin-de-l'Arçon,2015,158,Appartements,7
Saint-Martin-de-Londres,2015,1222,Appartements,172
Saint-Mathieu-de-Tréviers,2015,1883,Appartements,499
Saint-Maurice-Navacelles,2015,210,Appartements,16
Saint-Michel,2015,68,Appartements,0
Saint-Nazaire-de-Ladarez,2015,292,Appartements,10
Saint-Nazaire-de-Pézan,2015,287,Appartements,40
Saint-Pargoire,2015,1149,Appartements,89
Saint-Paul-et-Valmalle,2015,493,Appartements,63
Saint-Pierre-de-la-Fage,2015,90,Appartements,10
Saint-Pons-de-Thomières,2015,1478,Appartements,455
Saint-Pons-de-Mauchiens,2015,425,Appartements,37
Saint-Privat,2015,323,Appartements,12
Saint-Saturnin-de-Lucian,2015,197,Appartements,16
Saint-Sériès,2015,409,Appartements,55
Saint-Thibéry,2015,1348,Appartements,237
Saint-Vincent-de-Barbeyrargues,2015,291,Appartements,25
Saint-Vincent-d'Olargues,2015,329,Appartements,4
Salasc,2015,211,Appartements,11
La Salvetat-sur-Agout,2015,1639,Appartements,248
Saturargues,2015,383,Appartements,47
Saussan,2015,608,Appartements,54
Saussines,2015,459,Appartements,42
Sauteyrargues,2015,192,Appartements,15
Sauvian,2015,2382,Appartements,237
Sérignan,2015,4782,Appartements,896
Servian,2015,2332,Appartements,266
Sète,2015,31509,Appartements,25430
Siran,2015,545,Appartements,17
Sorbs,2015,66,Appartements,4
Soubès,2015,538,Appartements,60
Le Soulié,2015,272,Appartements,9
Soumont,2015,159,Appartements,37
Sussargues,2015,1105,Appartements,128
Taussac-la-Billière,2015,307,Appartements,41
Teyran,2015,1932,Appartements,156
Thézan-lès-Béziers,2015,1454,Appartements,198
Tourbes,2015,824,Appartements,71
La Tour-sur-Orb,2015,859,Appartements,48
Tressan,2015,356,Appartements,18
Le Triadou,2015,186,Appartements,30
Usclas-d'Hérault,2015,196,Appartements,5
Usclas-du-Bosc,2015,130,Appartements,10
La Vacquerie-et-Saint-Martin-de-Castries,2015,190,Appartements,9
Vacquières,2015,455,Appartements,16
Vailhan,2015,115,Appartements,5
Vailhauquès,2015,1035,Appartements,72
Valergues,2015,849,Appartements,86
Valflaunès,2015,362,Appartements,33
Valmascle,2015,30,Appartements,0
Valras-Plage,2015,9018,Appartements,4630
Valros,2015,822,Appartements,86
Vélieux,2015,66,Appartements,4
Vendargues,2015,2845,Appartements,742
Vendémian,2015,501,Appartements,29
Vendres,2015,2387,Appartements,143
Vérargues,2015,259,Appartements,22
Verreries-de-Moussans,2015,120,Appartements,2
Vias,2015,5365,Appartements,917
Vic-la-Gardiole,2015,2275,Appartements,202
Vieussan,2015,320,Appartements,11
Villemagne-l'Argentière,2015,291,Appartements,17
Villeneuve-lès-Béziers,2015,2438,Appartements,546
Villeneuve-lès-Maguelone,2015,4024,Appartements,1063
Villeneuvette,2015,63,Appartements,9
Villespassans,2015,131,Appartements,2
Villetelle,2015,593,Appartements,45
Villeveyrac,2015,1693,Appartements,209
Viols-en-Laval,2015,97,Appartements,22
Viols-le-Fort,2015,547,Appartements,74
La Grande-Motte,2015,20552,Appartements,18655
Aigaliers,2014,291,Appartements,6
Aigremont,2014,358,Appartements,12
Aigues-Mortes,2014,5059,Appartements,1259
Aigues-Vives,2014,1458,Appartements,179
Aiguèze,2014,221,Appartements,45
Aimargues,2014,2569,Appartements,451
Alès,2014,24195,Appartements,15512
Allègre-les-Fumades,2014,583,Appartements,82
Alzon,2014,276,Appartements,22
Anduze,2014,2310,Appartements,1024
Les Angles,2014,4649,Appartements,1662
Aramon,2014,1989,Appartements,528
Argilliers,2014,203,Appartements,7
Arpaillargues-et-Aureillac,2014,560,Appartements,32
Arphy,2014,184,Appartements,3
Arre,2014,234,Appartements,49
Arrigas,2014,262,Appartements,20
Aspères,2014,229,Appartements,17
Aubais,2014,1325,Appartements,147
Aubord,2014,957,Appartements,78
Aubussargues,2014,222,Appartements,8
Aujac,2014,188,Appartements,3
Aujargues,2014,448,Appartements,29
Aulas,2014,400,Appartements,91
Aumessas,2014,331,Appartements,17
Avèze,2014,696,Appartements,197
Bagard,2014,1134,Appartements,99
Bagnols-sur-Cèze,2014,9703,Appartements,5523
Barjac,2014,1118,Appartements,270
Baron,2014,194,Appartements,13
La Bastide-d'Engras,2014,150,Appartements,2
Beaucaire,2014,7525,Appartements,3439
Beauvoisin,2014,1945,Appartements,247
Bellegarde,2014,2969,Appartements,488
Belvézet,2014,216,Appartements,10
Bernis,2014,1421,Appartements,153
Bessèges,2014,2197,Appartements,1380
Bez-et-Esparon,2014,301,Appartements,59
Bezouce,2014,1045,Appartements,160
Blandas,2014,151,Appartements,7
Blauzac,2014,628,Appartements,37
Boisset-et-Gaujac,2014,1083,Appartements,85
Boissières,2014,232,Appartements,9
Bonnevaux,2014,102,Appartements,5
Bordezac,2014,282,Appartements,76
Boucoiran-et-Nozières,2014,439,Appartements,70
Bouillargues,2014,2684,Appartements,349
Bouquet,2014,198,Appartements,0
Bourdic,2014,215,Appartements,21
Bragassargues,2014,93,Appartements,9
Branoux-les-Taillades,2014,830,Appartements,197
Bréau-Mars,2014,487,Appartements,40
Brignon,2014,409,Appartements,68
Brouzet-lès-Quissac,2014,150,Appartements,14
Brouzet-lès-Alès,2014,393,Appartements,65
La Bruguière,2014,236,Appartements,8
Cabrières,2014,699,Appartements,76
La Cadière-et-Cambo,2014,145,Appartements,2
Le Cailar,2014,1168,Appartements,112
Caissargues,2014,1759,Appartements,193
La Calmette,2014,1017,Appartements,180
Calvisson,2014,2900,Appartements,656
Campestre-et-Luc,2014,144,Appartements,10
Canaules-et-Argentières,2014,206,Appartements,10
Cannes-et-Clairan,2014,275,Appartements,26
La Capelle-et-Masmolène,2014,288,Appartements,6
Cardet,2014,439,Appartements,42
Carnas,2014,256,Appartements,13
Carsan,2014,321,Appartements,16
Cassagnoles,2014,227,Appartements,5
Castelnau-Valence,2014,226,Appartements,6
Castillon-du-Gard,2014,868,Appartements,63
Causse-Bégon,2014,14,Appartements,0
Caveirac,2014,1741,Appartements,198
Cavillargues,2014,470,Appartements,64
Cendras,2014,1029,Appartements,471
Chambon,2014,317,Appartements,17
Chamborigaud,2014,697,Appartements,203
Chusclan,2014,476,Appartements,60
Clarensac,2014,1727,Appartements,188
Codognan,2014,1090,Appartements,130
Codolet,2014,323,Appartements,68
Collias,2014,735,Appartements,62
Collorgues,2014,256,Appartements,9
Colognac,2014,212,Appartements,28
Combas,2014,325,Appartements,27
Comps,2014,760,Appartements,49
Concoules,2014,337,Appartements,74
Congénies,2014,762,Appartements,56
Connaux,2014,817,Appartements,76
Conqueyrac,2014,63,Appartements,12
Corbès,2014,99,Appartements,26
Corconne,2014,324,Appartements,32
Cornillon,2014,542,Appartements,72
Courry,2014,233,Appartements,18
Crespian,2014,173,Appartements,14
Cros,2014,242,Appartements,5
Cruviers-Lascours,2014,305,Appartements,26
Deaux,2014,287,Appartements,13
Dions,2014,329,Appartements,41
Domazan,2014,450,Appartements,61
Domessargues,2014,273,Appartements,13
Dourbies,2014,521,Appartements,25
Durfort-et-Saint-Martin-de-Sossenac,2014,502,Appartements,28
Estézargues,2014,245,Appartements,33
L'Estréchure,2014,231,Appartements,15
Euzet,2014,231,Appartements,15
Flaux,2014,232,Appartements,2
Foissac,2014,216,Appartements,29
Fons,2014,570,Appartements,46
Fons-sur-Lussan,2014,193,Appartements,2
Fontanès,2014,320,Appartements,37
Fontarèches,2014,170,Appartements,5
Fournès,2014,491,Appartements,27
Fourques,2014,1363,Appartements,242
Fressac,2014,119,Appartements,18
Gagnières,2014,765,Appartements,285
Gailhan,2014,125,Appartements,9
Gajan,2014,330,Appartements,42
Gallargues-le-Montueux,2014,1878,Appartements,269
Le Garn,2014,199,Appartements,28
Garons,2014,1925,Appartements,364
Garrigues-Sainte-Eulalie,2014,392,Appartements,35
Gaujac,2014,548,Appartements,26
Générac,2014,1833,Appartements,320
Générargues,2014,459,Appartements,89
Génolhac,2014,828,Appartements,126
Goudargues,2014,760,Appartements,128
La Grand-Combe,2014,2982,Appartements,2070
Le Grau-du-Roi,2014,23686,Appartements,20850
Issirac,2014,214,Appartements,20
Jonquières-Saint-Vincent,2014,1584,Appartements,203
Junas,2014,558,Appartements,34
Lamelouze,2014,115,Appartements,9
Langlade,2014,979,Appartements,62
Lanuéjols,2014,480,Appartements,93
Lasalle,2014,979,Appartements,279
Laudun-l'Ardoise,2014,2436,Appartements,485
Laval-Pradel,2014,655,Appartements,50
Laval-Saint-Roman,2014,145,Appartements,5
Lecques,2014,199,Appartements,13
Lédenon,2014,669,Appartements,45
Lédignan,2014,689,Appartements,151
Lézan,2014,798,Appartements,183
Liouc,2014,131,Appartements,8
Lirac,2014,431,Appartements,46
Logrian-Florian,2014,162,Appartements,6
Lussan,2014,447,Appartements,38
Les Mages,2014,1057,Appartements,81
Malons-et-Elze,2014,190,Appartements,1
Mandagout,2014,382,Appartements,18
Manduel,2014,2822,Appartements,345
Marguerittes,2014,3888,Appartements,545
Martignargues,2014,204,Appartements,3
Le Martinet,2014,613,Appartements,287
Maruéjols-lès-Gardon,2014,128,Appartements,17
Massanes,2014,102,Appartements,5
Massillargues-Attuech,2014,386,Appartements,48
Mauressargues,2014,72,Appartements,7
Méjannes-le-Clap,2014,864,Appartements,45
Méjannes-lès-Alès,2014,543,Appartements,48
Meynes,2014,1100,Appartements,138
Meyrannes,2014,597,Appartements,136
Mialet,2014,652,Appartements,77
Milhaud,2014,2553,Appartements,497
Molières-Cavaillac,2014,505,Appartements,63
Molières-sur-Cèze,2014,995,Appartements,559
Monoblet,2014,440,Appartements,35
Mons,2014,782,Appartements,43
Montaren-et-Saint-Médiers,2014,845,Appartements,71
Montclus,2014,213,Appartements,43
Montdardier,2014,206,Appartements,17
Monteils,2014,274,Appartements,9
Montfaucon,2014,650,Appartements,59
Montfrin,2014,1587,Appartements,213
Montignargues,2014,239,Appartements,19
Montmirat,2014,169,Appartements,7
Montpezat,2014,474,Appartements,42
Moulézan,2014,300,Appartements,28
Moussac,2014,654,Appartements,82
Mus,2014,607,Appartements,52
Nages-et-Solorgues,2014,698,Appartements,32
Navacelles,2014,186,Appartements,14
Ners,2014,397,Appartements,31
Nîmes,2014,80676,Appartements,55315
Orsan,2014,510,Appartements,35
Orthoux-Sérignac-Quilhan,2014,257,Appartements,24
Parignargues,2014,275,Appartements,20
Peyremale,2014,280,Appartements,18
Peyrolles,2014,44,Appartements,5
Le Pin,2014,218,Appartements,12
Les Plans,2014,121,Appartements,11
Les Plantiers,2014,306,Appartements,95
Pommiers,2014,58,Appartements,0
Pompignan,2014,491,Appartements,43
Ponteils-et-Brésis,2014,318,Appartements,1
Pont-Saint-Esprit,2014,5397,Appartements,2220
Portes,2014,277,Appartements,52
Potelières,2014,197,Appartements,21
Pougnadoresse,2014,142,Appartements,1
Poulx,2014,1578,Appartements,110
Pouzilhac,2014,331,Appartements,20
Puechredon,2014,19,Appartements,3
Pujaut,2014,1825,Appartements,134
Quissac,2014,1596,Appartements,468
Redessan,2014,1656,Appartements,219
Remoulins,2014,1223,Appartements,438
Revens,2014,43,Appartements,3
Ribaute-les-Tavernes,2014,953,Appartements,120
Rivières,2014,246,Appartements,37
Robiac-Rochessadoule,2014,731,Appartements,262
Rochefort-du-Gard,2014,3209,Appartements,310
Rochegude,2014,202,Appartements,6
Rogues,2014,95,Appartements,1
Roquedur,2014,139,Appartements,7
Roquemaure,2014,2760,Appartements,785
La Roque-sur-Cèze,2014,174,Appartements,9
Rousson,2014,1774,Appartements,103
La Rouvière,2014,314,Appartements,66
Sabran,2014,959,Appartements,63
Saint-Alexandre,2014,561,Appartements,44
Saint-Ambroix,2014,2099,Appartements,814
Sainte-Anastasie,2014,828,Appartements,41
Saint-André-de-Majencoules,2014,608,Appartements,67
Saint-André-de-Roquepertuis,2014,408,Appartements,18
Saint-André-de-Valborgne,2014,584,Appartements,71
Saint-André-d'Olérargues,2014,254,Appartements,22
Saint-Bauzély,2014,244,Appartements,27
Saint-Bénézet,2014,129,Appartements,8
Saint-Bonnet-du-Gard,2014,392,Appartements,32
Saint-Bonnet-de-Salendrinque,2014,81,Appartements,18
Saint-Brès,2014,444,Appartements,46
Saint-Bresson,2014,76,Appartements,14
Sainte-Cécile-d'Andorge,2014,390,Appartements,37
Saint-Césaire-de-Gauzignan,2014,210,Appartements,29
Saint-Chaptes,2014,844,Appartements,136
Saint-Christol-de-Rodières,2014,127,Appartements,12
Saint-Christol-lez-Alès,2014,3202,Appartements,526
Saint-Clément,2014,166,Appartements,6
Saint-Côme-et-Maruéjols,2014,350,Appartements,49
Sainte-Croix-de-Caderle,2014,97,Appartements,12
Saint-Denis,2014,203,Appartements,19
Saint-Dézéry,2014,200,Appartements,5
Saint-Dionisy,2014,427,Appartements,35
Saint-Étienne-de-l'Olm,2014,169,Appartements,2
Saint-Étienne-des-Sorts,2014,306,Appartements,74
Saint-Félix-de-Pallières,2014,189,Appartements,9
Saint-Florent-sur-Auzonnet,2014,842,Appartements,292
Saint-Geniès-de-Comolas,2014,845,Appartements,95
Saint-Geniès-de-Malgoirès,2014,1324,Appartements,319
Saint-Gervais,2014,386,Appartements,12
Saint-Gervasy,2014,728,Appartements,59
Saint-Gilles,2014,6400,Appartements,1912
Saint-Hilaire-de-Brethmas,2014,1980,Appartements,213
Saint-Hilaire-d'Ozilhan,2014,502,Appartements,19
Saint-Hippolyte-de-Caton,2014,112,Appartements,5
Saint-Hippolyte-de-Montaigu,2014,155,Appartements,6
Saint-Hippolyte-du-Fort,2014,2327,Appartements,838
Saint-Jean-de-Ceyrargues,2014,98,Appartements,5
Saint-Jean-de-Crieulon,2014,129,Appartements,5
Saint-Jean-de-Maruéjols-et-Avéjan,2014,671,Appartements,101
Saint-Jean-de-Serres,2014,281,Appartements,20
Saint-Jean-de-Valériscle,2014,432,Appartements,112
Saint-Jean-du-Gard,2014,1887,Appartements,772
Saint-Jean-du-Pin,2014,686,Appartements,77
Saint-Julien-de-Cassagnas,2014,351,Appartements,51
Saint-Julien-de-la-Nef,2014,120,Appartements,13
Saint-Julien-de-Peyrolas,2014,718,Appartements,51
Saint-Julien-les-Rosiers,2014,1452,Appartements,130
Saint-Just-et-Vacquières,2014,155,Appartements,3
Saint-Laurent-d'Aigouze,2014,1924,Appartements,327
Saint-Laurent-de-Carnols,2014,263,Appartements,10
Saint-Laurent-des-Arbres,2014,1205,Appartements,117
Saint-Laurent-la-Vernède,2014,458,Appartements,20
Saint-Laurent-le-Minier,2014,344,Appartements,18
Saint-Mamert-du-Gard,2014,684,Appartements,87
Saint-Marcel-de-Careiret,2014,421,Appartements,16
Saint-Martial,2014,249,Appartements,7
Saint-Martin-de-Valgalgues,2014,2108,Appartements,532
Saint-Maurice-de-Cazevieille,2014,369,Appartements,51
Saint-Maximin,2014,447,Appartements,21
Saint-Michel-d'Euzet,2014,376,Appartements,23
Saint-Nazaire,2014,585,Appartements,192
Saint-Nazaire-des-Gardies,2014,44,Appartements,8
Saint-Paulet-de-Caisson,2014,955,Appartements,81
Saint-Paul-la-Coste,2014,268,Appartements,6
Saint-Pons-la-Calm,2014,227,Appartements,21
Saint-Privat-de-Champclos,2014,248,Appartements,17
Saint-Privat-des-Vieux,2014,2381,Appartements,236
Saint-Quentin-la-Poterie,2014,1645,Appartements,145
Saint-Roman-de-Codières,2014,191,Appartements,12
Saint-Sauveur-Camprieu,2014,608,Appartements,24
Saint-Sébastien-d'Aigrefeuille,2014,342,Appartements,18
Saint-Siffret,2014,708,Appartements,18
Saint-Théodorit,2014,244,Appartements,36
Saint-Victor-des-Oules,2014,189,Appartements,7
Saint-Victor-la-Coste,2014,955,Appartements,58
Saint-Victor-de-Malcap,2014,490,Appartements,39
Salazac,2014,154,Appartements,5
Salindres,2014,1619,Appartements,403
Salinelles,2014,284,Appartements,26
Les Salles-du-Gardon,2014,1424,Appartements,616
Sanilhac-Sagriès,2014,519,Appartements,55
Sardan,2014,162,Appartements,18
Saumane,2014,264,Appartements,49
Sauve,2014,1382,Appartements,518
Sauveterre,2014,865,Appartements,84
Sauzet,2014,333,Appartements,33
Savignargues,2014,122,Appartements,10
Saze,2014,879,Appartements,97
Sénéchas,2014,289,Appartements,10
Sernhac,2014,845,Appartements,103
Servas,2014,113,Appartements,5
Serviers-et-Labaume,2014,302,Appartements,16
Seynes,2014,111,Appartements,11
Sommières,2014,2539,Appartements,1242
Soudorgues,2014,202,Appartements,11
Soustelle,2014,124,Appartements,7
Souvignargues,2014,427,Appartements,21
Sumène,2014,1230,Appartements,330
Tavel,2014,931,Appartements,146
Tharaux,2014,57,Appartements,1
Théziers,2014,497,Appartements,39
Thoiras,2014,279,Appartements,24
Tornac,2014,526,Appartements,82
Tresques,2014,883,Appartements,64
Trèves,2014,138,Appartements,20
Uchaud,2014,1887,Appartements,392
Uzès,2014,5467,Appartements,2788
Vabres,2014,74,Appartements,9
Vallabrègues,2014,722,Appartements,34
Vallabrix,2014,247,Appartements,11
Vallérargues,2014,93,Appartements,3
Val-d'Aigoual,2014,1842,Appartements,359
Valliguières,2014,302,Appartements,27
Vauvert,2014,5230,Appartements,1768
Vénéjan,2014,575,Appartements,42
Verfeuil,2014,384,Appartements,9
Vergèze,2014,2202,Appartements,308
La Vernarède,2014,365,Appartements,40
Vers-Pont-du-Gard,2014,1006,Appartements,100
Vestric-et-Candiac,2014,562,Appartements,52
Vézénobres,2014,955,Appartements,155
Vic-le-Fesq,2014,236,Appartements,23
Le Vigan,2014,2690,Appartements,1413
Villeneuve-lès-Avignon,2014,6182,Appartements,1711
Villevieille,2014,832,Appartements,75
Vissec,2014,79,Appartements,2
Montagnac,2014,104,Appartements,6
Saint-Paul-les-Fonts,2014,430,Appartements,33
Rodilhan,2014,1362,Appartements,273
Abeilhan,2014,820,Appartements,70
Adissan,2014,586,Appartements,36
Agde,2014,47573,Appartements,34185
Agel,2014,180,Appartements,13
Agonès,2014,129,Appartements,6
Aigne,2014,198,Appartements,3
Aigues-Vives,2014,330,Appartements,5
Les Aires,2014,393,Appartements,48
Alignan-du-Vent,2014,878,Appartements,46
Aniane,2014,1613,Appartements,328
Arboras,2014,83,Appartements,9
Argelliers,2014,470,Appartements,38
Aspiran,2014,857,Appartements,87
Assas,2014,655,Appartements,65
Assignan,2014,148,Appartements,11
Aumelas,2014,277,Appartements,25
Aumes,2014,282,Appartements,17
Autignac,2014,584,Appartements,54
Avène,2014,590,Appartements,223
Azillanet,2014,311,Appartements,13
Babeau-Bouldoux,2014,240,Appartements,9
Baillargues,2014,3033,Appartements,746
Balaruc-les-Bains,2014,7297,Appartements,4897
Balaruc-le-Vieux,2014,1228,Appartements,184
Bassan,2014,953,Appartements,97
Beaufort,2014,182,Appartements,19
Beaulieu,2014,685,Appartements,82
Bédarieux,2014,4106,Appartements,2015
Bélarga,2014,278,Appartements,18
Berlou,2014,191,Appartements,25
Bessan,2014,2693,Appartements,333
Béziers,2014,44167,Appartements,27301
Boisseron,2014,822,Appartements,103
Boisset,2014,45,Appartements,1
La Boissière,2014,456,Appartements,20
Le Bosc,2014,725,Appartements,67
Boujan-sur-Libron,2014,1569,Appartements,304
Le Bousquet-d'Orb,2014,1103,Appartements,401
Bouzigues,2014,1013,Appartements,208
Brenas,2014,50,Appartements,7
Brignac,2014,322,Appartements,20
Brissac,2014,450,Appartements,28
Buzignargues,2014,129,Appartements,9
Cabrerolles,2014,273,Appartements,18
Cabrières,2014,343,Appartements,30
Cambon-et-Salvergues,2014,149,Appartements,16
Campagnan,2014,346,Appartements,26
Campagne,2014,144,Appartements,16
Camplong,2014,225,Appartements,19
Candillargues,2014,685,Appartements,133
Canet,2014,1489,Appartements,92
Capestang,2014,1741,Appartements,255
Carlencas-et-Levas,2014,69,Appartements,3
Cassagnoles,2014,105,Appartements,5
Castanet-le-Haut,2014,224,Appartements,16
Castelnau-de-Guers,2014,777,Appartements,57
Castelnau-le-Lez,2014,9069,Appartements,4163
Castries,2014,2784,Appartements,517
La Caunette,2014,263,Appartements,24
Causse-de-la-Selle,2014,251,Appartements,3
Causses-et-Veyran,2014,426,Appartements,33
Caussiniojouls,2014,107,Appartements,6
Caux,2014,1397,Appartements,109
Le Caylar,2014,344,Appartements,76
Cazedarnes,2014,336,Appartements,8
Cazevieille,2014,98,Appartements,7
Cazilhac,2014,794,Appartements,93
Cazouls-d'Hérault,2014,244,Appartements,18
Cazouls-lès-Béziers,2014,2430,Appartements,318
Cébazan,2014,362,Appartements,19
Ceilhes-et-Rocozels,2014,435,Appartements,144
Celles,2014,14,Appartements,4
Cers,2014,1053,Appartements,123
Cessenon-sur-Orb,2014,1337,Appartements,139
Cesseras,2014,324,Appartements,20
Ceyras,2014,615,Appartements,57
Clapiers,2014,2426,Appartements,483
Claret,2014,654,Appartements,54
Clermont-l'Hérault,2014,4720,Appartements,2454
Colombières-sur-Orb,2014,348,Appartements,30
Colombiers,2014,1261,Appartements,142
Combaillaux,2014,617,Appartements,37
Combes,2014,205,Appartements,16
Corneilhan,2014,865,Appartements,60
Coulobres,2014,191,Appartements,5
Courniou,2014,498,Appartements,22
Cournonsec,2014,1176,Appartements,99
Cournonterral,2014,2607,Appartements,483
Creissan,2014,658,Appartements,46
Le Crès,2014,4010,Appartements,1190
Le Cros,2014,65,Appartements,0
Cruzy,2014,649,Appartements,25
Dio-et-Valquières,2014,140,Appartements,5
Espondeilhan,2014,509,Appartements,48
Fabrègues,2014,3171,Appartements,631
Faugères,2014,412,Appartements,39
Félines-Minervois,2014,345,Appartements,13
Ferrals-les-Montagnes,2014,188,Appartements,6
Ferrières-les-Verreries,2014,54,Appartements,17
Ferrières-Poussarou,2014,74,Appartements,3
Florensac,2014,2653,Appartements,368
Fontanès,2014,154,Appartements,12
Fontès,2014,614,Appartements,55
Fos,2014,79,Appartements,5
Fouzilhon,2014,134,Appartements,4
Fozières,2014,125,Appartements,2
Fraisse-sur-Agout,2014,431,Appartements,37
Frontignan,2014,13410,Appartements,5386
Gabian,2014,517,Appartements,40
Galargues,2014,311,Appartements,17
Ganges,2014,2554,Appartements,1725
Garrigues,2014,84,Appartements,10
Gigean,2014,2615,Appartements,662
Gignac,2014,2772,Appartements,694
Gorniès,2014,155,Appartements,3
Grabels,2014,3876,Appartements,1947
Graissessac,2014,644,Appartements,328
Guzargues,2014,198,Appartements,6
Hérépian,2014,932,Appartements,184
Jacou,2014,2731,Appartements,786
Joncels,2014,248,Appartements,19
Jonquières,2014,222,Appartements,16
Juvignac,2014,4014,Appartements,934
Lacoste,2014,182,Appartements,19
Lagamas,2014,77,Appartements,4
Lamalou-les-Bains,2014,2115,Appartements,1158
Lansargues,2014,1384,Appartements,186
Laroque,2014,911,Appartements,138
Lattes,2014,7876,Appartements,3593
Laurens,2014,935,Appartements,75
Lauret,2014,252,Appartements,32
Lauroux,2014,179,Appartements,2
Lavalette,2014,45,Appartements,3
Lavérune,2014,1267,Appartements,273
Lespignan,2014,1703,Appartements,159
Lézignan-la-Cèbe,2014,745,Appartements,91
Liausson,2014,124,Appartements,23
Lieuran-Cabrières,2014,181,Appartements,5
Lieuran-lès-Béziers,2014,651,Appartements,29
Lignan-sur-Orb,2014,1390,Appartements,102
La Livinière,2014,462,Appartements,17
Lodève,2014,4181,Appartements,2212
Loupian,2014,1216,Appartements,151
Lunas,2014,600,Appartements,53
Lunel,2014,11477,Appartements,4534
Lunel-Viel,2014,1632,Appartements,263
Magalas,2014,1593,Appartements,119
Maraussan,2014,1943,Appartements,252
Margon,2014,324,Appartements,10
Marseillan,2014,9797,Appartements,4412
Marsillargues,2014,3271,Appartements,848
Mas-de-Londres,2014,251,Appartements,17
Les Matelles,2014,806,Appartements,114
Mauguio,2014,11920,Appartements,6684
Maureilhan,2014,1023,Appartements,100
Mérifons,2014,51,Appartements,0
Mèze,2014,6362,Appartements,2303
Minerve,2014,113,Appartements,19
Mireval,2014,1500,Appartements,241
Mons,2014,583,Appartements,30
Montady,2014,1739,Appartements,93
Montagnac,2014,2177,Appartements,396
Montarnaud,2014,1187,Appartements,116
Montaud,2014,413,Appartements,31
Montbazin,2014,1307,Appartements,221
Montblanc,2014,1393,Appartements,148
Montels,2014,127,Appartements,12
Montesquieu,2014,58,Appartements,2
Montferrier-sur-Lez,2014,1620,Appartements,314
Montouliers,2014,224,Appartements,25
Montoulieu,2014,104,Appartements,28
Montpellier,2014,160133,Appartements,137268
Montpeyroux,2014,721,Appartements,38
Moulès-et-Baucels,2014,403,Appartements,12
Mourèze,2014,115,Appartements,16
Mudaison,2014,1116,Appartements,193
Murles,2014,125,Appartements,3
Murviel-lès-Béziers,2014,1554,Appartements,167
Murviel-lès-Montpellier,2014,745,Appartements,100
Nébian,2014,743,Appartements,64
Neffiès,2014,672,Appartements,13
Nézignan-l'Évêque,2014,893,Appartements,79
Nissan-lez-Enserune,2014,2071,Appartements,257
Nizas,2014,419,Appartements,43
Notre-Dame-de-Londres,2014,270,Appartements,40
Octon,2014,322,Appartements,24
Olargues,2014,501,Appartements,80
Olmet-et-Villecun,2014,111,Appartements,4
Olonzac,2014,1071,Appartements,140
Oupia,2014,237,Appartements,13
