AN,LIBGEO,STATUT,NOMBRE
2022,Beaufort,Locataire HLM (logement loué vide),0.0
2022,Beaulieu,Locataire HLM (logement loué vide),49.3576644153236
2022,Bédarieux,Locataire HLM (logement loué vide),163.0
2022,Bélarga,Locataire HLM (logement loué vide),10.0
2022,Berlou,Locataire HLM (logement loué vide),0.0
2022,Bessan,Locataire HLM (logement loué vide),209.566252308239
2022,Béziers,Locataire HLM (logement loué vide),6015.0302839261
2022,Boisseron,Locataire HLM (logement loué vide),2.05296863572223
2022,Boisset,Locataire HLM (logement loué vide),0.0
2022,La Boissière,Locataire HLM (logement loué vide),0.0
2022,Le Bosc,Locataire HLM (logement loué vide),0.0
2022,Boujan-sur-Libron,Locataire HLM (logement loué vide),133.339727085851
2022,Le Bousquet-d'Orb,Locataire HLM (logement loué vide),122.076394647055
2022,Bouzigues,Locataire HLM (logement loué vide),0.0
2022,Brenas,Locataire HLM (logement loué vide),0.0
2022,Brignac,Locataire HLM (logement loué vide),6.60782185984609
2022,Brissac,Locataire HLM (logement loué vide),0.0
2022,Buzignargues,Locataire HLM (logement loué vide),4.71323614832288
2022,Cabrerolles,Locataire HLM (logement loué vide),0.0
2022,Cabrières,Locataire HLM (logement loué vide),13.1373507882175
2022,Cambon-et-Salvergues,Locataire HLM (logement loué vide),0.0
2022,Campagnan,Locataire HLM (logement loué vide),0.0
2022,Campagne,Locataire HLM (logement loué vide),0.0
2022,Camplong,Locataire HLM (logement loué vide),0.0
2022,Candillargues,Locataire HLM (logement loué vide),42.3697488581617
2022,Canet,Locataire HLM (logement loué vide),47.0
2022,Capestang,Locataire HLM (logement loué vide),29.0982667336685
2022,Carlencas-et-Levas,Locataire HLM (logement loué vide),1.04545454545455
2022,Cassagnoles,Locataire HLM (logement loué vide),0.0
2022,Castanet-le-Haut,Locataire HLM (logement loué vide),3.99321472900724
2022,Castelnau-de-Guers,Locataire HLM (logement loué vide),13.0
2022,Castelnau-le-Lez,Locataire HLM (logement loué vide),1206.23186995981
2022,Castries,Locataire HLM (logement loué vide),302.646225220339
2022,La Caunette,Locataire HLM (logement loué vide),2.06272972071178
2022,Causse-de-la-Selle,Locataire HLM (logement loué vide),0.0
2022,Causses-et-Veyran,Locataire HLM (logement loué vide),0.0
2022,Caussiniojouls,Locataire HLM (logement loué vide),0.0
2022,Caux,Locataire HLM (logement loué vide),8.0
2022,Le Caylar,Locataire HLM (logement loué vide),36.9565174830896
2022,Cazedarnes,Locataire HLM (logement loué vide),8.51863038797328
2022,Cazevieille,Locataire HLM (logement loué vide),0.0
2022,Cazilhac,Locataire HLM (logement loué vide),0.0
2022,Cazouls-d'Hérault,Locataire HLM (logement loué vide),0.995603786622599
2022,Cazouls-lès-Béziers,Locataire HLM (logement loué vide),46.5184148914781
2022,Cébazan,Locataire HLM (logement loué vide),5.04108407154022
2022,Ceilhes-et-Rocozels,Locataire HLM (logement loué vide),3.0
2022,Celles,Locataire HLM (logement loué vide),0.925925925925926
2022,Cers,Locataire HLM (logement loué vide),72.877348186447
2022,Cessenon-sur-Orb,Locataire HLM (logement loué vide),43.6200378058042
2022,Cesseras,Locataire HLM (logement loué vide),1.01650026917237
2022,Ceyras,Locataire HLM (logement loué vide),16.5941091240607
2022,Clapiers,Locataire HLM (logement loué vide),339.0
2022,Claret,Locataire HLM (logement loué vide),12.2872387373638
2022,Clermont-l'Hérault,Locataire HLM (logement loué vide),712.629192967688
2022,Colombières-sur-Orb,Locataire HLM (logement loué vide),0.0
2022,Colombiers,Locataire HLM (logement loué vide),103.837295844623
2022,Combaillaux,Locataire HLM (logement loué vide),11.4762985452728
2022,Combes,Locataire HLM (logement loué vide),0.0
2022,Corneilhan,Locataire HLM (logement loué vide),26.0
