LIBGEO,AN,ANNEE_CONS,NOMBRE
Roquemaure,2022,Construites avant 1919,
La Roque-sur-Cèze,2022,Construites avant 1919,
Rousson,2022,Construites avant 1919,
La Rouvière,2022,Construites avant 1919,
Sabran,2022,Construites avant 1919,
Saint-Alexandre,2022,Construites avant 1919,
Saint-Ambroix,2022,Construites avant 1919,
Sainte-Anastasie,2022,Construites avant 1919,
Saint-André-de-Majencoules,2022,Construites avant 1919,
Saint-André-de-Roquepertuis,2022,Construites avant 1919,
Saint-André-de-Valborgne,2022,Construites avant 1919,
Saint-André-d'Olérargues,2022,Construites avant 1919,
Saint-Bauzély,2022,Construites avant 1919,
Saint-Bénézet,2022,Construites avant 1919,
Saint-Bonnet-du-Gard,2022,Construites avant 1919,
Saint-Bonnet-de-Salendrinque,2022,Construites avant 1919,
Saint-Brès,2022,Construites avant 1919,
Saint-Bresson,2022,Construites avant 1919,
Sainte-Cécile-d'Andorge,2022,Construites avant 1919,
Saint-Césaire-de-Gauzignan,2022,Construites avant 1919,
Saint-Chaptes,2022,Construites avant 1919,
Saint-Christol-de-Rodières,2022,Construites avant 1919,
Saint-Christol-lez-Alès,2022,Construites avant 1919,
Saint-Clément,2022,Construites avant 1919,
Saint-Côme-et-Maruéjols,2022,Construites avant 1919,
Sainte-Croix-de-Caderle,2022,Construites avant 1919,
Saint-Denis,2022,Construites avant 1919,
Saint-Dézéry,2022,Construites avant 1919,
Saint-Dionisy,2022,Construites avant 1919,
Saint-Étienne-de-l'Olm,2022,Construites avant 1919,
Saint-Étienne-des-Sorts,2022,Construites avant 1919,
Saint-Félix-de-Pallières,2022,Construites avant 1919,
Saint-Florent-sur-Auzonnet,2022,Construites avant 1919,
Saint-Geniès-de-Comolas,2022,Construites avant 1919,
Saint-Geniès-de-Malgoirès,2022,Construites avant 1919,
Saint-Gervais,2022,Construites avant 1919,
Saint-Gervasy,2022,Construites avant 1919,
Saint-Gilles,2022,Construites avant 1919,
Saint-Hilaire-de-Brethmas,2022,Construites avant 1919,
Saint-Hilaire-d'Ozilhan,2022,Construites avant 1919,
Saint-Hippolyte-de-Caton,2022,Construites avant 1919,
Saint-Hippolyte-de-Montaigu,2022,Construites avant 1919,
Saint-Hippolyte-du-Fort,2022,Construites avant 1919,
Saint-Jean-de-Ceyrargues,2022,Construites avant 1919,
Saint-Jean-de-Crieulon,2022,Construites avant 1919,
Saint-Jean-de-Maruéjols-et-Avéjan,2022,Construites avant 1919,
Saint-Jean-de-Serres,2022,Construites avant 1919,
Saint-Jean-de-Valériscle,2022,Construites avant 1919,
Saint-Jean-du-Gard,2022,Construites avant 1919,
Saint-Jean-du-Pin,2022,Construites avant 1919,
Saint-Julien-de-Cassagnas,2022,Construites avant 1919,
Saint-Julien-de-la-Nef,2022,Construites avant 1919,
Saint-Julien-de-Peyrolas,2022,Construites avant 1919,
Saint-Julien-les-Rosiers,2022,Construites avant 1919,
Saint-Just-et-Vacquières,2022,Construites avant 1919,
Saint-Laurent-d'Aigouze,2022,Construites avant 1919,
Saint-Laurent-de-Carnols,2022,Construites avant 1919,
